Race,Age,Is English your native language?,Gender,What hand do you use to write with?,How the participant came to the test - based on HTTP Referer,Participant's technical location - ISO country code,Individual Extraversion Score,Individual Neuroticism Score,Individual Agreeableness Score,Individual Conscientiousness Score,Individual Openness Score
Caucasian (European),13,Yes,Male,Right,Other source,United States,4.2,1.6,3.6,3.6,3.3
Caucasian (European),13,Yes,Male,Right,Other source,United States,4,3.2,3.2,1.9,3.2
Caucasian (European),13,Yes,Male,Right,Other source,United States,1.4,3.7,2.9,3.6,2.2
Caucasian (European),13,Yes,Male,Right,Other source,United States,2.4,3.8,3.3,2.8,5
Caucasian (European),13,Yes,Male,Right,Other source,United States,2,4.5,4.1,2.3,3.8
Caucasian (European),13,Yes,Male,Right,Other source,United States,3.6,2.7,4.1,2.2,3.7
Caucasian (European),13,Yes,Male,Right,Other source,United States,4.1,2.6,2.9,2.1,3.8
Caucasian (European),13,Yes,Male,Right,Other source,United States,4.7,4.1,4,2.7,4.3
Caucasian (European),13,Yes,Other,Both,From Google,United States,1.6,4.2,3.5,3.3,3.5
Caucasian (European),13,Yes,Female,Both,From Google,United Kingdom,2.5,4.8,3,2.5,4.1
Caucasian (European),13,Yes,Female,Right,From Google,Australia,2.1,3.4,3.5,4.1,3.7
Caucasian (European),13,Yes,Female,Right,From Google,United Kingdom,3.2,1.7,4.8,2.7,4.8
Caucasian (European),13,Yes,Female,Right,From Google,United Kingdom,2,4.2,3.3,2.1,2.9
Caucasian (European),13,Yes,Female,Right,From Google,United States,3.9,3.2,4.4,2.8,4
Caucasian (European),13,Yes,Female,Right,From Google,United States,4,3.1,4,2.8,4.3
Caucasian (European),13,Yes,Female,Right,From Google,United States,3.7,3.5,4.2,3.9,3.9
Caucasian (European),13,Yes,Female,Right,From Google,United States,2.4,2.3,4.3,3.2,3.6
Caucasian (European),13,No,Male,Right,From Google,Norway,2.8,2.8,3.4,3.5,4.8
Caucasian (European),13,No,Other,Left,From another page on the test website,United States,1,4.6,3.4,3.7,4.4
Caucasian (European),13,Yes,Other,Left,From another page on the test website,United States,1.6,3.9,3.6,3.1,3
Caucasian (European),13,Yes,Female,Both,From another page on the test website,United Kingdom,2.1,3.9,4,2.4,3.9
Caucasian (European),13,No,Female,Left,From another page on the test website,Italy,3.6,2.5,4.9,3.8,4.5
Caucasian (European),13,Yes,Female,Left,From another page on the test website,United States,1.9,2,4.2,4.4,4.6
Caucasian (European),13,No,Female,Right,From another page on the test website,Australia,2.8,2.9,4.9,3.4,3.3
Caucasian (European),13,No,Female,Right,From another page on the test website,Spain,2.6,4.2,4,3.4,4.7
Caucasian (European),13,No,Female,Right,From another page on the test website,Spain,2.4,3.8,4.2,3,3.7
Caucasian (European),13,Yes,Female,Right,From another page on the test website,Australia,1.9,4.1,4,2.7,3.3
Caucasian (European),13,Yes,Female,Right,From another page on the test website,Australia,4.5,3,4.1,3.8,4.7
Caucasian (European),13,Yes,Female,Right,From another page on the test website,Australia,3.1,2.9,3.6,3.7,3.7
Caucasian (European),13,Yes,Female,Right,From another page on the test website,Australia,1,3.3,3.5,2.5,2.3
Caucasian (European),13,Yes,Female,Right,From another page on the test website,Australia,3.2,4.8,4.1,2,3.8
Caucasian (European),13,Yes,Female,Right,From another page on the test website,Australia,4.5,2.5,4.5,4,4
Caucasian (European),13,Yes,Female,Right,From another page on the test website,Canada,2.5,4.4,4.6,2.9,4.1
Caucasian (European),13,Yes,Female,Right,From another page on the test website,United Kingdom,1.8,2.9,1.7,2.8,3.3
Caucasian (European),13,Yes,Female,Right,From another page on the test website,United Kingdom,3.8,2.7,4,3.4,2.9
Caucasian (European),13,Yes,Female,Right,From another page on the test website,United Kingdom,2.3,3.5,4.8,3.7,2.8
Caucasian (European),13,Yes,Female,Right,From another page on the test website,United Kingdom,2.6,3.2,4,2.8,3.4
Caucasian (European),13,Yes,Female,Right,From another page on the test website,Ireland,4.1,3.3,4.8,4,5
Caucasian (European),13,Yes,Female,Right,From another page on the test website,United States,2,4.2,4.5,3.8,3.6
Caucasian (European),13,Yes,Female,Right,From another page on the test website,United States,1.6,4.4,2.5,2.5,3.4
Caucasian (European),13,Yes,Female,Right,From another page on the test website,United States,3.5,4.5,4.1,2.4,4.6
Caucasian (European),13,Yes,Female,Right,From another page on the test website,United States,3.6,3.5,3.7,3.2,4.6
Caucasian (European),13,Yes,Female,Right,From another page on the test website,United States,4.1,2.6,4.8,3.2,3.5
Caucasian (European),13,Yes,Female,Right,From another page on the test website,United States,2.5,2.7,3.7,3.5,3.6
Caucasian (European),13,Yes,Female,Right,From another page on the test website,United States,3.7,5,2.8,1.7,4.4
Caucasian (European),13,Yes,Female,Right,From another page on the test website,United States,4.1,3.4,1.9,2.7,4.3
Caucasian (European),13,Yes,Female,Right,From another page on the test website,United States,1.6,4.3,4.1,3,4
Caucasian (European),13,Yes,Female,Right,From another page on the test website,United States,2.8,2.9,4,3.7,3.3
Caucasian (European),13,Yes,Female,Right,From another page on the test website,United States,1.2,3.8,2,2.3,3.9
Caucasian (European),13,Yes,Female,Right,From another page on the test website,United States,4.8,2.3,4.9,4.1,4.7
Caucasian (European),13,Yes,Female,Right,From another page on the test website,United States,2.7,2.6,4.6,3.1,4.6
Caucasian (European),13,Yes,Female,Right,From another page on the test website,United States,1.8,4.2,3.2,1.7,3.7
Caucasian (European),13,Yes,Female,Right,From another page on the test website,United States,3.2,4,3.7,2.7,4.8
Caucasian (European),13,Yes,Female,Right,From another page on the test website,South Africa,4.4,2.2,4.5,4.5,4.6
Caucasian (European),13,Yes,Male,Both,From another page on the test website,United Kingdom,2.1,3.7,1.9,3.2,2.8
Caucasian (European),13,Yes,Male,Both,From another page on the test website,United States,3.5,1.8,3,3.8,4.9
Caucasian (European),13,Yes,Male,Left,From another page on the test website,United Kingdom,1.2,1.7,4.6,3.4,4.4
Caucasian (European),13,Yes,Male,Left,From another page on the test website,United Kingdom,2,4.4,2.4,2.1,4.3
Caucasian (European),13,Yes,Male,Left,From another page on the test website,United Kingdom,3.1,2.1,2.4,3.4,3.6
Caucasian (European),13,No,Male,Right,From another page on the test website,Canada,2,3.1,3.9,3.4,4.8
Caucasian (European),13,No,Male,Right,From another page on the test website,United Kingdom,3.1,3,3.6,3,4.1
Caucasian (European),13,No,Male,Right,From another page on the test website,Sweden,3.3,2.4,1.5,1.8,4
Caucasian (European),13,Yes,Male,Right,From another page on the test website,Canada,3.6,4.5,1,3.5,4.6
Caucasian (European),13,Yes,Male,Right,From another page on the test website,United Kingdom,2.3,4.6,3,2.9,4
Caucasian (European),13,Yes,Male,Right,From another page on the test website,United Kingdom,3.7,2.5,4.4,2,3.2
Caucasian (European),13,Yes,Male,Right,From another page on the test website,United Kingdom,3.3,3.1,2.5,2.2,4.4
Caucasian (European),13,Yes,Male,Right,From another page on the test website,United States,2.5,2.6,3.7,2.2,3.8
Caucasian (European),13,Yes,Male,Right,From another page on the test website,United States,2.2,3.2,2.8,2.6,4.3
Caucasian (European),13,Yes,Male,Right,From another page on the test website,United States,1.5,2.8,2.6,4.9,4.3
Caucasian (European),13,Yes,Male,Right,From another page on the test website,United States,1,1.9,1.2,4.7,3.2
Caucasian (European),13,Yes,Male,Right,From another page on the test website,United States,3.2,3.1,4.4,2.2,3.4
Caucasian (European),13,Yes,Male,Right,From another page on the test website,United States,2.1,3.1,2.8,4.2,3
Caucasian (European),13,Yes,Male,Right,From another page on the test website,United States,3.3,3.9,4,3.2,3.3
Caucasian (Indian),13,No,Female,Right,From Google,United Kingdom,2.4,3.2,3.7,2.4,2.7
Caucasian (Indian),13,No,Female,Right,From another page on the test website,Canada,3.4,4.6,4.3,2.9,4.4
Caucasian (Indian),13,Yes,Female,Right,From another page on the test website,Canada,1.4,3.1,1,2.6,3.8
Caucasian (Indian),13,Yes,Female,Right,From another page on the test website,United Kingdom,3.9,3.7,3.5,2.7,2.6
Caucasian (Indian),13,Yes,Female,Right,From another page on the test website,United States,3.3,3.8,4,3.3,3.7
Caucasian (Indian),13,Yes,Female,Right,From another page on the test website,United States,2.8,4.3,3.1,2.4,4.2
Caucasian (Indian),13,Yes,Female,Right,From another page on the test website,United States,3.1,3.5,3.8,1.9,4.1
Caucasian (Indian),13,Yes,Female,Right,From another page on the test website,United States,3.5,3.4,4.8,2.4,3.7
Caucasian (Indian),13,No,Male,Right,From another page on the test website,United Arab Emirates,2.6,1.9,3.5,3.8,3.4
Caucasian (Indian),13,No,Male,Right,From another page on the test website,India,2.6,3.9,3,2.5,4
Caucasian (Indian),13,No,Male,Right,From another page on the test website,India,2.7,3.1,3.7,3.7,4.5
Caucasian (Middle East),13,Yes,Female,Right,Other source,United States,4.4,1.2,4.2,4.6,4.6
Caucasian (Middle East),13,No,Male,Right,Other source,Kuwait,2.9,3.1,4.3,3,3.4
Caucasian (Middle East),13,Yes,Male,Right,Other source,United States,3.9,2.6,2.3,2.9,2.2
Caucasian (Middle East),13,Yes,Male,Right,Other source,United States,4.6,3,4.4,4.4,3.6
Caucasian (Middle East),13,Yes,Male,Right,Other source,United States,3.6,2.9,3.2,3.2,2.7
Caucasian (Middle East),13,Yes,Female,Left,From another page on the test website,United States,2.9,3.7,3.6,2.9,3
Caucasian (Middle East),13,No,Female,Right,From another page on the test website,United States,2.7,4.5,2.2,4,4
Caucasian (Middle East),13,Yes,Female,Right,From another page on the test website,United Arab Emirates,3.2,2.6,3.9,2.6,3.7
Caucasian (Middle East),13,Yes,Female,Right,From another page on the test website,United States,2,3.7,2.7,2.4,3.4
Caucasian (Middle East),13,Yes,Female,Right,From another page on the test website,United States,3.1,3,4.5,4,4.4
Caucasian (Middle East),13,Yes,Male,Right,From another page on the test website,United States,3.2,2,3.1,4.4,4.4
"Caucasian (North African, Other)",13,Yes,Male,Right,Other source,United States,3.3,2.3,3.6,2.8,3.5
"Caucasian (North African, Other)",13,Yes,Female,Left,From another page on the test website,United States,2.2,3,3.8,3,4.4
"Caucasian (North African, Other)",13,Yes,Female,Right,From another page on the test website,United States,3.2,3.7,3.2,2.9,3.7
"Caucasian (North African, Other)",13,Yes,Female,Right,From another page on the test website,United States,4.6,2.9,4.2,1.9,3.3
"Caucasian (North African, Other)",13,Yes,Female,Right,From another page on the test website,United States,2.1,4.5,4.3,2.3,4.3
Indigenous Australian,13,No,Female,Right,From another page on the test website,Indonesia,3.9,3.8,3.9,2.6,4.2
Native American,13,Yes,Male,Right,Other source,United States,3.6,1.7,4.1,3.6,4
Native American,13,Yes,Male,Right,Other source,United States,1.5,1.4,3,3.8,3.1
Native American,13,No,Female,Right,From another page on the test website,United States,2.3,3.2,3.2,2.7,3.9
Native American,13,Yes,Male,Right,From another page on the test website,United States,4.2,2.7,4.7,3.5,4.5
"North East Asian (Mongol, Tibetan, Korean Japanese, etc.)",13,Yes,Female,Right,Other source,United States,4.1,2,4,3.7,3.6
"North East Asian (Mongol, Tibetan, Korean Japanese, etc.)",13,Yes,Male,Left,Other source,United States,3.9,3.7,4.3,3.2,3.2
"North East Asian (Mongol, Tibetan, Korean Japanese, etc.)",13,Yes,Male,Right,Other source,United States,2.5,1.5,3.2,4.5,4.1
"North East Asian (Mongol, Tibetan, Korean Japanese, etc.)",13,Yes,Female,Right,From another page on the test website,United States,3.9,4.4,3.1,1.2,2.9
"North East Asian (Mongol, Tibetan, Korean Japanese, etc.)",13,Yes,Male,Both,From another page on the test website,United Kingdom,3.2,1.9,2.5,3.8,4.1
"Pacific (Polynesian, Micronesian, etc.)",13,No,Male,Right,Other source,United States,4.6,2.8,4,3.6,4.5
"Pacific (Polynesian, Micronesian, etc.)",13,No,Female,Right,From another page on the test website,United States,2.4,2.3,4.4,2.6,4.3
"South East Asian (Chinese, Thai, Malay, Filipino, etc.)",13,Yes,Female,Left,Other source,Australia,3.3,3.3,4,3.1,4.4
"South East Asian (Chinese, Thai, Malay, Filipino, etc.)",13,Yes,Female,Left,Other source,Egypt,3.8,4,3.9,3.4,3.5
"South East Asian (Chinese, Thai, Malay, Filipino, etc.)",13,No,Female,Right,Other source,Philippines,4.8,1.9,4.2,2.3,4.1
"South East Asian (Chinese, Thai, Malay, Filipino, etc.)",13,Yes,Female,Right,Other source,Australia,1.5,3.9,3.2,2.3,3.3
"South East Asian (Chinese, Thai, Malay, Filipino, etc.)",13,No,Male,Left,Other source,Hong Kong,2.1,4,4.1,4.3,4.3
"South East Asian (Chinese, Thai, Malay, Filipino, etc.)",13,Yes,Male,Right,From Facebook,Singapore,2.7,2.6,3.7,2.8,2.4
"South East Asian (Chinese, Thai, Malay, Filipino, etc.)",13,Yes,Male,Right,From Facebook,Singapore,2.3,2.6,3.9,3.1,4.2
"South East Asian (Chinese, Thai, Malay, Filipino, etc.)",13,No,Female,Both,From Google,United States,2.3,3.5,3.8,2.4,3.2
"South East Asian (Chinese, Thai, Malay, Filipino, etc.)",13,No,Female,Right,From Google,Canada,3.7,1.5,4.3,4.6,4.4
"South East Asian (Chinese, Thai, Malay, Filipino, etc.)",13,Yes,Female,Right,From Google,Singapore,3.1,3.8,4.7,3.8,3.3
"South East Asian (Chinese, Thai, Malay, Filipino, etc.)",13,No,Other,Right,From another page on the test website,United States,1.6,3.7,3.1,2,3
"South East Asian (Chinese, Thai, Malay, Filipino, etc.)",13,Yes,Female,Both,From another page on the test website,Singapore,2.1,4,2.8,3.7,4.5
"South East Asian (Chinese, Thai, Malay, Filipino, etc.)",13,Yes,Female,Left,From another page on the test website,Australia,2,3.4,3.3,3.4,3.5
"South East Asian (Chinese, Thai, Malay, Filipino, etc.)",13,Yes,Female,Left,From another page on the test website,United Kingdom,2.1,3.4,2.1,3.9,3.7
"South East Asian (Chinese, Thai, Malay, Filipino, etc.)",13,No,Female,Right,From another page on the test website,Philippines,4.5,3,3.9,3.8,4.5
"South East Asian (Chinese, Thai, Malay, Filipino, etc.)",13,No,Female,Right,From another page on the test website,Philippines,3.7,4.5,3.3,2.6,4.2
"South East Asian (Chinese, Thai, Malay, Filipino, etc.)",13,No,Female,Right,From another page on the test website,Philippines,1.6,3.8,2.5,3.3,3.7
"South East Asian (Chinese, Thai, Malay, Filipino, etc.)",13,No,Female,Right,From another page on the test website,Philippines,1.9,4.5,3.6,3.9,3.7
"South East Asian (Chinese, Thai, Malay, Filipino, etc.)",13,No,Female,Right,From another page on the test website,Singapore,3.8,2.4,4.8,2.9,4.5
"South East Asian (Chinese, Thai, Malay, Filipino, etc.)",13,No,Female,Right,From another page on the test website,United States,2.5,4,3.8,2.6,3.9
"South East Asian (Chinese, Thai, Malay, Filipino, etc.)",13,No,Female,Right,From another page on the test website,United States,1.5,3.8,2.2,2.5,4
"South East Asian (Chinese, Thai, Malay, Filipino, etc.)",13,No,Female,Right,From another page on the test website,United States,2.8,3.7,3.4,2.5,3.6
"South East Asian (Chinese, Thai, Malay, Filipino, etc.)",13,Yes,Female,Right,From another page on the test website,Australia,2.3,1.8,2.9,2.3,4.6
"South East Asian (Chinese, Thai, Malay, Filipino, etc.)",13,Yes,Female,Right,From another page on the test website,Canada,1.7,2.7,3.2,3.7,3.4
"South East Asian (Chinese, Thai, Malay, Filipino, etc.)",13,Yes,Female,Right,From another page on the test website,Canada,4.1,2.1,4.1,3.9,4.2
"South East Asian (Chinese, Thai, Malay, Filipino, etc.)",13,Yes,Female,Right,From another page on the test website,United Kingdom,3.9,2.8,3.5,2.1,4.5
"South East Asian (Chinese, Thai, Malay, Filipino, etc.)",13,Yes,Female,Right,From another page on the test website,Northern Mariana Islands,2.6,3.9,2.9,2.7,2.9
"South East Asian (Chinese, Thai, Malay, Filipino, etc.)",13,Yes,Female,Right,From another page on the test website,Philippines,3.1,3.8,3.9,2.6,3
"South East Asian (Chinese, Thai, Malay, Filipino, etc.)",13,Yes,Female,Right,From another page on the test website,Singapore,2.4,3.5,3.7,2.5,2.6
"South East Asian (Chinese, Thai, Malay, Filipino, etc.)",13,Yes,Female,Right,From another page on the test website,Singapore,2.9,3.9,4.6,2.8,3.6
"South East Asian (Chinese, Thai, Malay, Filipino, etc.)",13,Yes,Female,Right,From another page on the test website,United States,3.9,3.4,4.2,4,4.1
"South East Asian (Chinese, Thai, Malay, Filipino, etc.)",13,Yes,Female,Right,From another page on the test website,United States,2,3.2,3.9,4.8,4.6
"South East Asian (Chinese, Thai, Malay, Filipino, etc.)",13,No,Male,Left,From another page on the test website,Hong Kong,1.7,4.4,3.6,3.7,4
"South East Asian (Chinese, Thai, Malay, Filipino, etc.)",13,Yes,Male,Left,From another page on the test website,Australia,2.3,2.1,3.3,3.2,4.2
"South East Asian (Chinese, Thai, Malay, Filipino, etc.)",13,No,Male,Right,From another page on the test website,Philippines,2.3,3.2,2.8,2.9,3.3
"South East Asian (Chinese, Thai, Malay, Filipino, etc.)",13,No,Male,Right,From another page on the test website,Philippines,1.3,4.5,4.5,3.4,3.2
"South East Asian (Chinese, Thai, Malay, Filipino, etc.)",13,Yes,Male,Right,From another page on the test website,United States,2.9,3.2,3.6,4.1,4.5
"West African, Bushmen, Ethiopian",13,Yes,Male,Right,Other source,United States,1.2,4.6,3.5,3.6,3.3
"West African, Bushmen, Ethiopian",13,Yes,Female,Right,From another page on the test website,United Kingdom,3.7,1.3,4.1,4.1,4.8
"West African, Bushmen, Ethiopian",13,Yes,Female,Right,From another page on the test website,United States,1.8,3,3.4,3.8,4.4
"West African, Bushmen, Ethiopian",13,Yes,Female,Right,From another page on the test website,United States,2.4,4.3,4.3,2.7,3.4
"West African, Bushmen, Ethiopian",13,No,Male,Right,From another page on the test website,United Kingdom,3.1,2.3,3.5,4,3.6
Other,13,Yes,Female,Right,Other source,United Kingdom,3.1,1.6,4.8,4.2,4.3
Other,13,Yes,Female,Right,Other source,United States,3.1,2.1,4,4,2.6
Other,13,Yes,Female,Right,Other source,United States,3.6,3.7,4.2,4.4,3.6
Other,13,Yes,Female,Right,Other source,United States,3.7,4.2,3.5,3.4,3
Other,13,Yes,Female,Right,Other source,United States,3.2,4,3.6,3.3,3.6
Other,13,Yes,Female,Right,Other source,United States,1.7,4,3.2,2.4,4.6
Other,13,Yes,Male,Right,Other source,United States,1.9,3.9,3.6,3.5,4.7
Other,13,Yes,Male,Right,Other source,United States,1.8,3.9,2.7,4,3.9
Other,13,Yes,Male,Right,Other source,United States,2.1,3.9,4,2.8,5
Other,13,Yes,Male,Right,Other source,United States,2.4,2.9,4.6,3.3,3.1
Other,13,Yes,Female,Left,From Google,United States,2.5,3,3.9,3.2,3.9
Other,13,Yes,Female,Right,From Google,United States,5,4.6,3.1,2.8,2.6
Other,13,No,Male,Right,From Google,United States,3.5,4.9,3.6,2.5,3.8
Other,13,Yes,Male,Right,From Google,United States,1.8,3.4,4.2,4.2,1.8
Other,13,Yes,Female,Both,From another page on the test website,United States,4.6,1.8,4.6,4.6,4.6
Other,13,No,Female,Left,From another page on the test website,India,3.6,2.7,4.2,3.8,4.3
Other,13,No,Female,Left,From another page on the test website,United States,2.8,3.9,4,3.6,3.4
Other,13,No,Female,Right,From another page on the test website,Brazil,3.8,4.2,2.9,2.4,4.2
Other,13,No,Female,Right,From another page on the test website,Canada,4.6,1.2,2.1,1.8,2.8
Other,13,No,Female,Right,From another page on the test website,Puerto Rico,2.6,3.3,4.9,4.6,4.8
Other,13,Yes,Female,Right,From another page on the test website,Australia,4.4,2.8,4,3.3,3.4
Other,13,Yes,Female,Right,From another page on the test website,Australia,1.4,4.4,3.9,3.3,4.2
Other,13,Yes,Female,Right,From another page on the test website,Philippines,2.6,4.6,5,2.3,5
Other,13,Yes,Female,Right,From another page on the test website,United States,2,2.5,4.6,2.9,4.3
Other,13,Yes,Female,Right,From another page on the test website,United States,3.1,4.1,3.8,3.3,4
Other,13,Yes,Female,Right,From another page on the test website,United States,2.8,2.2,4.4,3.7,3.4
Other,13,Yes,Female,Right,From another page on the test website,United States,4.4,3.4,4.7,3.4,3.6
Other,13,Yes,Female,Right,From another page on the test website,United States,1.9,3.3,3.1,2.1,2.1
Other,13,Yes,Female,Right,From another page on the test website,United States,2.7,2.5,3.5,3.7,2.9
Other,13,Yes,Female,Right,From another page on the test website,United States,2.2,3.2,3.5,1.6,1.7
Other,13,Yes,Female,Right,From another page on the test website,United States,2.1,3.2,4.3,3.4,3.4
Other,13,Yes,Female,Right,From another page on the test website,United States,1.7,4.5,2.6,2.9,4.2
Other,13,Yes,Female,Right,From another page on the test website,United States,2.5,2.4,4.5,3.6,4.3
Other,13,Yes,Female,Right,From another page on the test website,United States,2.1,3.6,3,2.9,4.1
Other,13,No,Male,Left,From another page on the test website,India,2.2,4.7,3.4,1.6,3.6
Other,13,No,Male,Right,From another page on the test website,Australia,3.1,3.1,1.9,5,3.1
Other,13,Yes,Male,Right,From another page on the test website,United States,4.7,2.6,3.5,3.1,3.2
Mixed Race,14,Yes,Female,Left,Other source,United States,2.8,2.6,3.2,3.6,3.6
Mixed Race,14,No,Female,Right,Other source,United States,2,5,2.1,1.4,3
Mixed Race,14,Yes,Female,Right,Other source,United States,2.5,2.8,3.8,2.8,2.8
Mixed Race,14,Yes,Female,Right,Other source,United States,1,4.3,3.6,2.1,2.5
Mixed Race,14,Yes,Female,Right,Other source,United States,2.2,4.2,2.4,1.8,2.2
Mixed Race,14,Yes,Female,Right,Other source,United States,2.4,4.4,2,1.6,2.6
Mixed Race,14,Yes,Female,Left,From Google,United States,4.3,4.6,4.8,3.7,4.9
Mixed Race,14,Yes,Female,Right,From Google,United States,1.1,4.8,2.9,2.3,3.1
Mixed Race,14,Yes,Female,Right,From Google,United States,1.5,3.9,2.2,3.3,2.7
Mixed Race,14,Yes,Female,Right,From Google,United States,4.5,2.9,2.6,3,4.1
Mixed Race,14,Yes,Female,Right,From Google,United States,4.2,3.7,4.7,2.5,4.5
Mixed Race,14,Yes,Female,Right,From Google,United States,1.7,4,4.1,4,4.3
Mixed Race,14,Yes,Female,Right,From Google,United States,2.9,4,3.8,3.6,4.2
Mixed Race,14,Yes,Male,Right,From Google,United States,3.4,1.7,3.3,3.1,3.1
Mixed Race,14,Yes,Male,Right,From Google,United States,2.4,3,2.8,2.8,2.5
Mixed Race,14,Yes,Other,Right,From another page on the test website,United States,2.3,2.8,2.3,2.6,4.5
Mixed Race,14,Yes,Female,Left,From another page on the test website,United Kingdom,1.5,4.3,2,4,4.6
Mixed Race,14,Yes,Female,Left,From another page on the test website,United States,1.6,4.2,4.4,3.2,3.4
Mixed Race,14,No,Female,Right,From another page on the test website,Brazil,1.9,4.4,3.7,2.8,4
Mixed Race,14,No,Female,Right,From another page on the test website,Brazil,1.4,3.8,3.9,2,3.6
Mixed Race,14,No,Female,Right,From another page on the test website,Netherlands,2.2,2.9,3.2,3.1,3.3
Mixed Race,14,No,Female,Right,From another page on the test website,Philippines,2.5,4,3.5,2.9,4.4
Mixed Race,14,No,Female,Right,From another page on the test website,Pakistan,3.5,4.6,3.8,4.9,4.5
Mixed Race,14,Yes,Female,Right,From another page on the test website,Australia,2.9,3.1,3.9,2.3,4.3
Mixed Race,14,Yes,Female,Right,From another page on the test website,Australia,3.2,4.1,3.8,2.7,3.8
Mixed Race,14,Yes,Female,Right,From another page on the test website,Australia,3.1,3,4.2,4.1,3.7
Mixed Race,14,Yes,Female,Right,From another page on the test website,Canada,1.9,3.1,3.5,2.7,3.5
Mixed Race,14,Yes,Female,Right,From another page on the test website,Malaysia,3.5,2.9,3.6,1.5,3.4
Mixed Race,14,Yes,Female,Right,From another page on the test website,Namibia,2.5,3.4,4,2.3,3.6
Mixed Race,14,Yes,Female,Right,From another page on the test website,United States,3,5,2.8,2.3,4.5
Mixed Race,14,Yes,Female,Right,From another page on the test website,United States,3,4.7,2.6,2.2,4
Mixed Race,14,Yes,Female,Right,From another page on the test website,United States,1.8,4.3,2.8,2.9,3.2
Mixed Race,14,Yes,Female,Right,From another page on the test website,United States,1,4.4,4.4,2.7,2.9
Mixed Race,14,Yes,Female,Right,From another page on the test website,United States,1.8,3.3,3.7,2.3,4.6
Mixed Race,14,Yes,Female,Right,From another page on the test website,United States,2.8,4.1,3.9,3.1,3.8
Mixed Race,14,Yes,Female,Right,From another page on the test website,United States,4.2,3.4,3.8,2.1,4.2
Mixed Race,14,Yes,Female,Right,From another page on the test website,United States,3.5,3.1,3.6,3.4,3.5
